Положительное_сообщение,Отрицательное_сообщение
"одели ,,маски и сидит там выбранная народом как,, сбежавшее тесто,бездушная биомасса называемое ,,людьми ! как будто у них небыло родителей и нет детей !",этот пидр ещё к чему то призывает.
автору респект👍,дай господи ума ебанутым людям 🤬
наверное позора не вынесут и покинут россию навсегда!,омерзительный
"ань, а что за машинки к нему?",пошёл ты на хуй 🤡
почему не открывается страница?,даже в убийстве ищут уродам оправдания да кто он такой чтобы убивать просто мразь
с праздником!!! зелёного всегда!!! 👍👍👍🌹🌹🌹,:d ебать ты смешной клоун
в городе не меньше пьют.,господи прости меня убери.этих шлюхс экрана ипидора этого канала
а куда обращаться? подскажите пожалуйста,его самого надо туда козла
"да,москва зажралась сосет из всей страны богатства",🐓 пиздюк мойша
продам джинсы на мальчика 7-8 лет. 500р в отличном состоянии,"🤮 м.задорнова , к сожалению, нет. с новым годом в ночь с 2022 на 20023 некому будет поздравлять народ. переход с 2022 на 2023 будет омрачен,или обрадован...? в ночь с 2000 на 2001 никто не понял, что произошло. 1 января все прояснилось: 😡 пришел новый пидр, и на долго. а после его смерти снимут кино, какой он был одновременно дляпростого народа хорошим человеком, а для оллигархоов пидором конченным. про горбатого с ельцом еще фильм не придумали, да и не дадут придумать . это после окончания эры путина. ребята, вы заметили, мы живем не в мире, а в космосе, в каких-то эрах? россиян-землян не существует."
вы редкая и индивидуальная красотка,😠 объясните мне хохля почему ротару приехала в сочи на новую волну вы же всем пишите что украина воюет с россией что россия напала на вашу страну и при чем здесь донбасс который вы бомбите и теперь как вы ее будете встречать на украине с цветами или пизделями ну очень интересно
алтай- сплошное место силы!!!,​а ограничения на проезд в автобусах полная тупось разберитесь с вашими тоями и не касайтесь простых дачников вы там сидите и ни хрена не петрите со своими тупыми ограничениями 👿
"всё уже в прошлом, до боли знакомо.что было, того уж не вернуть.","весь мир театр, а этот - пидор!"
"судя по фото,бабушке не такие подарки нужны.тем кто спекулирует людскими чувствами,надо было бы подарить ей свое внимание.не просите лайки.",просто конченные твари
"вы играите по их правилам.если хочет народ выбрать, то выбирайте,а не ззанимайтесь бумажной волокитой.",долбоеб ты володя! 😒 речь не о том!
"с праздником!!! 90-летним юбилеем воздушно-десантных войск!!! никто, кроме нас!!! ура! ура! ура-а-а!!!",хохлов пидорасят
геморрой,"пидоры живущие за счёт народа, в биологии называются паразитами , организм живущий за счёт другова"
талант пропадает,"нехуй врать, блядь, сидишь тут ублюдок, провоцируешь."
очень красиво;) ;) ;),🐽 тварь из ссср..... 🙄
а в тесто соль не нужна?,👿 выкручивается.как хуй поросячий.
а в их колличестве,нахрена кино снимать!? лизнул... и тебе медалька и премия!
где поподробнее про баню можно посмотреть,залупу конскую на воротник
свежий одеколон?,"ебать копать бред, ты бы уебан с микрофоном пошёл в толпу фанатов динамо и спросил там кто болеет за спартак? выборы показали кто есть ху"
"икея ,уже 10 лет стоит и все отлично , ничего не отвалилось.","что значит 🙄 пожизненно, 25 лет строгого режима? если дали пожизненное лишение свободы, пускай там и сдохнет. таким не место на этом свете."
обязательно что-нибудь «приятное» нужно вставить ...👎,пидор кукарекай на счёт 6.
"я сказал все. тебя я услышал. конечно, не хочется чтобы кто-то из молодежи вступил с тобой в дискуссию. отругает хорошенько путина и сядет. а ты просто будешь удивлен последствиям безобидной критики. ты то путина напрямую не ругаешь. знаешь, что за это будет. а вот молодой человек может и вляпаться.","ты нацист конченний, а фашисту надо ебать"
"родненькие вы наши ,защитнички, всегда партизанская война была и есть самая эффективная фрици во время войны так боялись подвижные отрядами партизан т.к действия их были непредсказуемы их можно в любую минуту ждать !!","а почему ты защищаешь этих пидорорасов, ведь ахеджакова права, вы в германии все по другому видите,, я знаю, у меня там много друзей живёт, не вам судить о жизни наших людей, в чужих руках всегда х...толще:d :d :d :d"
а глазурь где? на торте её нет...,да этот путин совсем охуел... судить это нечтожество и в казимат на хлеб и воду
и у меня.,"ну, точно, долбоёб...."
ей нельзя...гель польется😁,"вы, случайно,не родственная душа этого ублюдка? покушение на детей!!!!! у парня сработала адекватная реакция защиты,он молодец!!!! он в состоянии аффекта не контролировал свои эмоции,но он видел происходящие события!!! он спас детей!!!!!!!"
деревня какая?,если проследят за пидором то накажут
смотрели. спасибо.,вот муж говорит правильно заблокируй и удали страничку!!!и но тебе же катька это выгодна когда ты срешь и тебя срут!!! с липецком она собралась разбераться насмешила 😂 😂 😂 😂
надоела реклама. невозможно читать.,🐔 вот позорище то.спектакль для дураков.
"красиво, но не практично, бедные руки после порезов от топора",ибо нехуй педик
"хотела бы купить завтра 2 августа 15 кг помидор,заберу сама.","🐓 мамаши все долбоебки,сама это прошла с дочей."
соглсна с вами на все 100%,😑 да это одно из немногих мест где с вас - долбоёбов поржать еще можно. ебаный заповедник умственноотсталых
"это не молли,а моль. шанель вкус потеряли",уебище такое
мост....дорога.....власти большое спасибо!!!! большую часть жизни проводил в пробке!!!! один раз даже сорвался((((,тебе мразь могильная только что в рожу плюнули за детоебство. шлюха вонючая. фу. хохлопидор.
"правда жизни!малодец порняга!ну,а корнях....по ходу и говорить,нетчего...:d :d :d",как таких долбаебов вообще земля носит🙄🤦‍♂️
"а ведь многим из нас звонят и вешаютлапшу на уши....хорошо если человек во время поймет, что это развод....",🐷 че там обвинять.крыса бульбашская присасался к кормушки.пидарас ради власти готов мирный народ размазать.пидарас на том свете бабосы нахуй кому нужны.
"скажу от себя - свиноводство не для всех! хотите прибыль то надо: 1) иметь деньги на свиней, 2) не экономить на свиньях - на кормах, премиксах и содержании, 3) заводить хороших свиней ( не обязательно чистопородных,но здоровых и купленных у ответственных хозяев), 4) уметь не только вырастить свинью или поросят, но уметь их реализовать, сделать хорошую рекламу своей продукции, научиться делать полуфабрикаты,тушенку,колбасу, копчености и т.п. 5) держать много свиней т.к с 1-2 прибыли нет практически. и последнее - прежде чем начать - изучить теорию содержания свиней, чтоб не писать в группу по всякой ерунде - чем кормить, когда витамины и железо колоть поросятам и т.п. всем удачи и добра!",гоните этого ушлепка поганой метлой!!!! 🤮 🐷
герои вам честь и слава.,а у вас галя все брешут.. кроме. двух. уебков. соловья и путина.. когда же вы переродитесь
bsе частья хотят но каков оно увы это знать лишь дано немнолим частье в просмувшись увидеть рассвет и знать е греха на душе что твоей нет ото,э как тебя там ник вжопу вжик и не мужик и получится г нейм когда он лез в президенты и ещё один дурачек брынцыалов так вы выбрали борю алкаша все кричали борьку на трон а сейчас ты тьфукаешь ты на себя в зеркало посмотри а потом вякай и тьфукай... 💩
самые преданные глаза в мире,"🤬 долбоеб, ум отсутствует, на его роже написано, дурак!"
ч шел зо год зарплата на поднялась рублей тыс рублей а на ч тыс цены,"мова - лошара ! ещё не въехал на круг, а левый поворотник включил !!!#u9b079a3836s#"
"я сейчас смотрю на артистов,которые его защищали на различных программах, с огромным сомнением в их порядочности. не дай бог,что-то случится с ними подобное,поступят так же.",это же не мужчина а член с ушами. а бабеху жаль.
что вы курите,такая же херня если примериет деревянный макинтошь то не расстроюсь ни разу. он по жизни урод а уродов не жалко
сколько тебе заплатили за это сообщение?! если то на то пошло лечить надо было изначально а не в последний момент!,блядский цырк !!!
уходят герои - :( :( :( :( :( :( 💔 💔 💔 💔 💔 - вечная им память и слава,",белорусский полицай сдал русских партизан украинским фашистам и, даже, паспортные данные слил. сволочь усатая! 🐽"
сбербанк онлайн чек по операции сбербанк онлайн операция карты на карту перевод с дата операции мск июл оо оперхции мск время б з номер документа чочвч операции статус выполнен успешн но сумма операции ч б оо руб комиссия коми о со руб отправитель еlестгоп ввв получатель бвв карты код авторизации бв получатель плать тежа наталья николаевна в по сбер платеж выполнен опиге,🐷 чмошники ёбаные 😠
"ничего страшного походит туда и заговорит, после пойдёт в обычный сад и все будет нормально.",конченная ....
надо хоть номер телефона писать.,🖕 💩 заебали мозгоебы
"как катаются лизаветта и софья? почему не ценят мировые судьи? я уважаю и мишина и лизу, но нужно признать, что кроме трикселя у лизы больше ничего и нет. на прошедшей серии гран-при были низкие баллы. может этери международных судей подкупает? алена в начале сезона с двойным акселем даже намного опередила лизу. на международной арене они к сожалению не могут конкурировать, если еще софья была стабильна со своей не очень сложной программой позапрошлый сезон, то прошлый уже просто не потянула.",ты другого не 🐓 заслуживаешь опущенный в говно засранец 😜
ты шорошенькая вот бы замутить с тобой,"ярошевич- а у задержаных вами гражданах россии на лбу написано что они ,.наёмники ,. или в паспортах-???? или они находятся в международном розыске интерпола-????? вы блядь оказывается холуи вместе с лукой у жыдо-бандеровского сайгона - украины- вот и суки продажные и плетёте вместе с ними все эти гнусные провокации...."
да пришёл ответ,вот сволочь у самого ряха ой ой
"на сколько я знаю у анжелики корни еврейские, да дело даже не в нациольностей!",сука лысая больше нехуй сказать надо их штрафовать за такие высказывания
давай отдыхайте,"шапито блядь.одного заебанца причленить не могут,не правосудие а так клоуны собрались.этот хроник конкретно человека убил.море свидетелей тому,а они все экспертизы проводят.шапито а не закон."
уважение вам,😤 хуйло ты бандеровское
"дай бог вам здоровья и много много детишек ,будьте сщастливы !!!",самый ебнутый мультик.
иа удел слабых если человеку не чего сказать он начинает критиковать других и оскорблять р б,хватит пиздеть полуебки 😡
"отличный посыл , ирочка!!!",закрой свою вонючую пасть мразь
щас исправлюся,у тебя в башке пальмовое масло вместо мозга
"там на нормальном языке написано ,он из бабекского района , а кто он араб или еврей не городите ерунду .он азербайджанец , потому что он потомок рода нахчыванских хан. - которые достойна носили имя - азербайджанец . проснитесь ребята ,и всегда воссхволяйте родину свою и его достойных сыновей",десять пидоров вижу.милиардов не вижу.
это стол выручалочка стоит себе тихонько в уголку и никому не мешает ну а если надо -разлаживается в большой стол,автор ты пидор или гадон????? ты гныда видел такого
при сталине воровали не меньше ...все было так же ...,то что вы со своей политикой короновирус придумали в этом никто не сомневается. за правду что все это фуфло людей готовы в тюрьмы посадить так кто вы после этого . ну чего давайте сажайте меня мне все равно в этой жизни терять нечего. самое дорогое что я потеряла из-за ваших законов и поправок э́то здоровье . я теперь инвалид но из за вашихзаконов не могу уже 2 года инвалидности добиться. так кто вы ?. козлы и пидоры зажравшиеся
бедные люди :(,те сразу угостят 🖕 те конченые пидоры
"это просто самец, они и питаются соком растений.","🐔 как вид противен пузыря...судьбы союза,- чирей гнойный...зашла страны, родной, заря...душонкой проданной ,- помойной...был, всё же, близок мир чудес...россией вырванной из плена,- стал управлять запойный бес...мозг водкой сжёг,- душа полено..пропив мозги он объявил,- ,, бог,- америку храни... !,, он русь в помойку опустил... содрав и честь,- оплот брони...как снг был жалок тот,- осколки стран в победы сути...мой тихо в небо шепчет рот,- ,, спасибо, боже,- что есть путин...!,,"
здоровье бабуле и долгих лет жизни👍👏🌹🌹🌹,"ты барыга? у тебя всё одно и тоже, продажники, продаёт и т. д."
"привет а я его если и пью, то пью со сливками или молоком. и нескафе жена не берёт, она берёт какую то другую хрень.:-d﻿","какой пропагандон эту хуету писал? я предполааб что оно еще и хохол западенский пидер очень не здоровый, с дурки сбежавший"
"у нас в салавате я наблюдал что то подобное , когда убирал могилы родственников , молодцы - что скажешь тут ...👍",да вы правы они долбоеб ы
" несколько участников потасовки были задержаны, но потом их опустили. надеюсь именно так и было.",пиздос...не не пиздос...пиздосищеееее😁ну и пиздочесище тошь😆😆
и то в пределах разумного...,"вот это пиздёш , наебош, объебош для дурачкков с большими глазками которые верят в такие кадры......."
во сколько они завтра будут выступать?,🤬 на хуй извинятся если человек чмо и дерьмо !
мне тоже пришло🙄🙄🙄🤔,"со мной так часто бывало, хочешь убить какую нибудь тварь, но рука не поднималась , как будто кто то сверху говорил , что это тварь божия как и ты."
"такие мамаши своим детям в глаза не смотрят, мамаши своей жизнью живут, для себя и для сожителя. а дети .., так, ..рядом растут и такими же становятся - бездумными, никчёмным.","это не девушки ,это бляди мусорские!!! 🐓"
если бы люди дружилис головой...,"сходи обоссы могилу своей шлюхи матери, подохшей как дешовое чмо. 🤣🤣🤣"
чё к чему это показывать хрень какаета.,🤮 обоссать пидораса
от чего женщины запаникуют если они акушерки?🤣😆,мразь конченная
добрый вечер gиг ок,а почему этого пидора не забрали полицейские? пропаганда пидоров запрещена! 😤
парки привели в порядок. сейчас дороги отремонтируют и город будет не узнать! сколько сделано за последние три года. такого наш город давно не видел!,"белоручек и долбоёбов, ими легче управлять."
"приписывали монтелукаст, вроде так.",пидорок братейка
по его мнению:-d..шортики тоже:-d,ефремов 🤢 опущенец конченый!
"классный плед,вяжется на ура, утилизируются все остатки пряжи.","сми важнее 🐷 телки силиконовые у малахова сегодня в передаче, например, чем массовые восстания в стране. вот это и есть продажные уроды."
70 весна осень 3я рота радио телеграфист,ну да... то убивал людей за пять копеек а тут раз и ангеломй стал. долбоеб
утром себе проснулись придумали причину для счастья и кааак давай житы эмоции класс,"может кто 🤮 то разкажет чего он сделал хорошего,охуевщий пиздабол👎🖕"
"ой,не таблетки,точно не таблеточки!)))","гавно оно приплывшее из москвы, а гавно не тонет."
с днём рождения💐🌷🌹🌺🌸🌼🌻,ебать вы старые 🤡 долбаёбы!!!
у нас бандитский капитализм медленно переходящий в феодальный строй ......,тупорылое ебло 😆и боец он петушиный позорник
"или, что бы тебе позвонили.","жалко что такие пидорасы сами себе шею ломают, но они ещё не в чём невиновных с собой тянут , козлы!"
из этих трех можно выбрать или какието определенные выкупаются?,не хуй выстовлять
"как же всё-таки строить умели! все с природой в гармонии, невозможно глаз оторвать! ❤️",кондючки вообще на хер не нужны
" анна ахматовапоэтон, сам себя сравнивший с конским глазом,косится, смотрит, видит, узнает,и вот уже расплавленным алмазомсияют лужи, изнывает лед. в лиловой мгле покоятся задворки,платформы, бревна, листья, облака.свист паровоза, хруст арбузной корки,в душистой лайке робкая рука. звенит, гремит, скрежещет, бьет прибоеми вдруг притихнет,— это значит, онпугливо пробирается по хвоям,чтоб не спугнуть пространства чуткий сон. и это значит, он считает зернав пустых колосьях, это значит, онк плите дарьяльской, проклятой и черной,опять пришел с каких-то похорон. и снова жжет московская истома,звенит вдали смертельный бубенец...кто заблудился в двух шагах от дома,где снег по пояс и всему конец? за то, что дым сравнил с лаокооном,кладбищенский воспел чертополох,за то, что мир наполнил новым звономв пространстве новом отраженных строф— он награжден каким-то вечным детством,той щедростью и зоркостью светил,и вся земля была его наследством,а он ее со всеми разделил.",:d :d :d миньет очень много делает свинья пидарасявая! хоть бы ни позорился чушка путинская:d :d :d
хорошо-разговаривайте.когда нет достижений у себя-можно бесконечно разговаривать о сопредельных государствах.но смысл?,"сажать его надо, давать срок по полной, чтобы другим не повадно было, расплодилось этих тварей, мажориков, да богема светская."
действительно великолепно!,🤬 😤 каждый паразит присасывается к русским
да перестаньте,"таксюрики вообще пидоры гребут такие сука цены за проезд и ещё гнидничают.... закон бумеранга никто не отменял .. все вернётся. ему будет всё с полна. ну а прочем девушка также должна объяснить своим деткам что в машине есть чипсы как бы не хорошо так как они ломкие и хочеш ты или нет все равно будут крошки ей надо было просто доплатить . видела какой пидор, хотя бы доехала а так осталась с детьми на трассе. будьте внимательны с этими козлами..... правда не все таксисты хомовитые. есть конечно нормальные люди. представляете если к этого таксиста есть семья. какое оно гавно дома....."
не правда я рыба но прямая торпеда бешеные не думаю что спакойно,"иди поблюй, не трус ставит свое фото.. здесь не выставка фото, у кого какое .но свое! а ты на фото своей бабушки смотри, а не нам мое.!"
"ладно, иду кина смотреть, чтоб ожидание убить!",🤢 застрелилось бы та сука которая его прекрывает а патом бы и сам.
все лето трендят неправильно! уже никто им не верит. 😎,"жидяра пархатый.. ну тебе то какая разница до нашей жизни. что ты суёшь своё кучерявое во все дыры, и даже в жопу. понятно что леви это фейк, на самом деле работаете по графику толпою.. но всё равно, как вы дебилы пиндосовские"
да асфальт мне тоже очень понравился.,давы 🙄 блядь тутсовсем пизданикисы
покажите пожалуйста кухонные шкафы,"если по великому счёту, то твари оккупировали украину и их - тварей - 90%"
спасибо всем за тёплые слова 🙏,"ты и каретникова идеальной парой будете..один пиздит хз что, вторая тоже😂"
"какая разница кто она по национальности и какая актриса. хорошая, талантливая актриса. с удовольствием смотрю фильмы с её участием!",сестры у неё нет. дроча ее мать
"привет солнишко я лилия, надеюсь мы подружимся:-)","тварь тупая ,советско- чувашская ,ты на даты выдачи талонов хоть смотрела своими азиатскими узкими глазами? 1983 год это горбач?"
благодарим за предупреждение! угол падения всегда равен углу отражения! только люди до сих пор не выучили простую истину!,"придумали ещё одну кормушку себе,суки..... 😒"
"пока не будут наказывать, так и будет.",и которая не пердит с трибуны за хуесоса обнулёныша! 😑
кошак вообще убил)),хули мозгоебы доебались до путина. не нравится пиздуйте в америку трампу жопу лизать. 😒
"людмила и лидия я присоединяюсь к вам ивовсем вас поддерживаю я за росию за путина дай ему боже сил и здоровье,",🐷 а 😡 кремль ублюдки позорные в отставку всех!!!
георгий вицын,"писец. полная деградация. стадо белых ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,падлы. больше просто нет слов. 🖕"
привет не могу войти в сб он,короче баклан я с тобой даже не собираюсь базарить пизди что хочешь
"извени саня не то глянул видать, нет этих никаких","ты на рожу свою посмотри динамично развитую,отрок колхозавра! 🤢"
очень жизненно,🤢 🐷 три пидораса конченых
"да уж секта липкие лапки если уж на этом уровне проявляют себя, то что творить будут дорвавшись до власти...","обиженки собрались тут,нехер с тряпками связываться ,чтоб потом не обсирать всех остальных и вести себя как стерва,вокруг много ещё путных людей))"
"власовцы, новая версия","да, адвокатишка говно. ему наср.... ь на обстоятельства. главное бабло. а что там в деле, кто там виноват...... ему главное выиграть дело 🙄 и открыть плшире кпрман для бабла."
странно у бабули повернуты ручки газ.плиты.,"а это от мера зависит. а вокруг нас- пидоры закушившиясе . а где презик- сами решайте.если кто думает, что в аптеке- биг мистейк."
да прикольно ждемс,"🤮 блять сука сколько можно пиздеть что пидарасы нарушили перемирие погиб боец, да за одного бойца десять а то и больше их валить надо чтоб высунуться боялись так говорил павел дремов и бойцов своих берёг а у бойца осталась теперь семья и дети кто им его теперь заменит??? вот эта срочная статья??? просто уже зло берёт сколько можно точнее нужно ещё людей похоронить семей осиротить? чтоб на конец начали так же око за око с 10ти кратным плюсом минских соглашений пидармоты никогда не придерживались"
собачка плачет от радости. здоровья и удачи хозяевам собачки.,смертная казнь для таких мразей ! слишком легкая смерть! пусть сидят пожизненно и мучаются до конца дней своих!!!!!!
"паранжу не разрешили, так получайте маски, во как!?",🤡 если ты пидарас неровняй по себе чмо пиздоголовое
кого-то сильно напоминает,"😠 ой ха-ха , а ты то прям мне нужен ушлёпок зассаный.:d"
есть желание познакомиться,а гаишников хотели переименовать в пидр - постовой инспектор дорожного регулирования. 😡
"молодец делай добро и никого не слушай людям рот не закроиш, пусть господь тебя благословит","че там за вдвшники то были? как обычно те, кто пайки на камбузе мылил? ссыкуны, которые забыли правило. что своих на поле боя не бросают."
"да что вы прицепились к этому фельдшеру? устроился парнишка на скорую работать, там всегда рук не хватает. может и ездил с врачом помощником. люди, которые бредят медициной, к школьному выпускному уже половину программы межучилища знают. а современные экзамены - это чистой воды лотерея!",николашка реально уеблан был!!!!!!!!! но смемью жалко
радость своими руками - это прекрасно!,"хмм,странно,а скотоботы и путиноиды,противников поправок называют гомосеками и пидерастами,доказывая ,что вофка главный борец с педиками...."
все хорошо в меру)) в любом возрасте)),🐔 герои с девушкой воевать трусы хреновы из чмошники
а что это капиталы путина....???,"🐷 хуйли фото коопмагаза выложили, пидары?"
"беспредел, конечно.",хохлов на плов
"самое смешное, что дама судя по всему, потерялась во времени... в афганистан посылало как раз советское правительство аж 40 с лишним лет назад, но виноват конечно опять путин...:d",ахуенная 💩 телка
но это извините уже оскорбление! а следовательно и статья за оскорбление! не нравится что-то? не держу!,"эбаная чушь тупорылая, все кто в эту хуйню верит долбаящур конченный 🤢"
сколько кг. в ведре,денис лебедев-взгляд воина мужчины..золотов-взгляд дебила как и у всей его антинародной банды..
пельмени салат,с начало учись писать по русскому языку 100 ошибок. мол уз узбак тилинга езавер мол бляд. бунча башаранг хунук бляд аками 91 5516608 ва телеграми 915516601 тел килгаин афиша гандон жонга тегдигу
"вот так надо жить молодцы,класс!!!! возму себе на заметку.",кто заживет путинские черти
"мне 67 лет. в ссср не хочу! живу на скромную пенсию и живу. в ссср хотят все те, кто там не жили или партократы.",во всех группах торчит ебанутое укробыдло хохол это та жевотина и ей хреново потому что в россии все хорошо а за путина 87 % россиян мы за него родного закатаем
бо бз збобооо о оо ооов ч в оз оо дата о об оспар зании прановых о актов приз федере ному в тов глана кас катогория дела нон бъектов рф суб актов арганов иных государст ной власт рф привалов алексей судья о оо дата б иск удовле створен рассмотремо судьей единолично воронежский областной суд о о,"глухов, ты че, дебил? ты сам-то откуда нарисовался? у меня муж с херсона и родственники живут и в херсоне и в крыму. украина не совсем печально, но живёт. да, что-то строится, как и везде, что-то отрывается. но зп у людей не большие. то, что продукты там вкусные, это есть, по сравнению с москвой и московской областью, но лесов там ни кто не насажал. да и с крыма в украину ни кто не рванул. за свои слова отвечать надо, а не пиздеть всякую хрень, позорник!!!"
"нашли дочку харитонова ивана николаевича-1930 года рождени. ее зовут светлана борисова, у неё уже внучка ходит во 2 класс, и ей сегодня день рождение-49 лет.","наташа дура, пусть дальше сострадает хомячкам, а ему в член вколите, стояк обеспечен без спазмов! 🤢"
"можно, через мфц они сами отправят по месту вашей прописки!",скоро 😒 мы поставим этих ублюдков на колени!
у меня новый уровень.(fr),"ну тупая,мозгов нет"
"какой стороной лист прикладывать, имеет значение?",у тебя вообще 38 хромосом ты блядь трижды даун! :d надо же быть таким ебанным!
спасибо всем не равнодушным уже в добрых руках,"эля, я когда в универе училась жила в общаге. у нас в комнате жило 6 девченок. девченки все хорошие, но одна- вылитая томка и прическа такая и в очках- поблядушка. мужиков приводила в комнату, там все дела проворачивала! :d однажды приехал ко мне брат, мы пошли в парк, там наша мадам нас должна была ждать. я брату сказала, смотри где она, сразу её опознаешь по лицу, у неё морда - блядская)))) расспозновать долго не пришлось) брат нашёл её по морде лица, ни разу её не видел) я когда увидела томкины фото, думала, что наша мадам из прошлого в неё переродилась! 🤣🤣🤣🤣"
по тем дорогам ходили босые люди пешком! а по нынешним ездят грузовые по 40-45 тонн. всё! заткнулись умники?,"сука,по другому не скажешь."
да ничего хороший,"врач от бога, а законы пишут дебилы."
"дети это счастье! когда они здоровы, тогда - счастье!!! а когда больны , то - горе, да ещё какое горе: жить не хочется...","это не лицо ,это мерзкая рожа пидора ."
почём такой зонт?,🙄 тварь гнилая
"может она больная,? а мы смеёмся!!!! здесь что то не так!!!",храни бог всех долбоебов выкладывающих эту хрень 🙄 .
